genomeName	Species_mtDNA	SpeciesCode	CommonName	Assembly	Assembly2	NewName	Birth	cell	type	type2	type3	Latitude_approx	Longitude_approx	id	colors	sex
SAMN01920529_schweinfurthii_Harriet_Uganda	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		9729_Harriet		diploid	diploid (Illumina short-read)	short-read	3	32	SAMN01920529_schweinfurthii_Harriet_Uganda	#ffb35a	
SAMN01920530_schweinfurthii_Bwambale_Uganda	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		A910_Bwambale		diploid	diploid (Illumina short-read)	short-read	0	30	SAMN01920530_schweinfurthii_Bwambale_Uganda	#ffb35a	
SAMN01920531_schweinfurthii_Kidongo_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		A911_Kidongo		diploid	diploid (Illumina short-read)	short-read	0	20	SAMN01920531_schweinfurthii_Kidongo_DemocraticRepublicCongo	#ffb35a	
SAMN01920532_schweinfurthii_Nakuu_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		A912_Nakuu		diploid	diploid (Illumina short-read)	short-read	0	26	SAMN01920532_schweinfurthii_Nakuu_DemocraticRepublicCongo	#ffb35a	
SAMEA4374787_schweinfurthii_Padda_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		B002_Padda		diploid	diploid (Illumina short-read)	short-read	-10	25	SAMEA4374787_schweinfurthii_Padda_DemocraticRepublicCongo	#ffb35a	
SAMEA4374788_schweinfurthii_Cindy_Uganda	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		B007_Cindy		diploid	diploid (Illumina short-read)	short-read	-1	28	SAMEA4374788_schweinfurthii_Cindy_Uganda	#ffb35a	
SAMEA4374789_schweinfurthii_Ikuru_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		B010_Ikuru		diploid	diploid (Illumina short-read)	short-read	2	32	SAMEA4374789_schweinfurthii_Ikuru_DemocraticRepublicCongo	#ffb35a	
SAMEA4374790_schweinfurthii_Tongo_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		N013_Tongo		diploid	diploid (Illumina short-read)	short-read	3	31	SAMEA4374790_schweinfurthii_Tongo_DemocraticRepublicCongo	#ffb35a	
SAMEA4374791_schweinfurthii_Cleo_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		N015_Cleo		diploid	diploid (Illumina short-read)	short-read	-1.2	29.3	SAMEA4374791_schweinfurthii_Cleo_DemocraticRepublicCongo	#ffb35a	
SAMEA4374792_schweinfurthii_Bihati	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		N017_Bihati		diploid	diploid (Illumina short-read)	short-read	0	20	SAMEA4374792_schweinfurthii_Bihati	#ffb35a	
SAMEA4374793_schweinfurthii_Trixie_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		N018_Trixie		diploid	diploid (Illumina short-read)	short-read	-2	29	SAMEA4374793_schweinfurthii_Trixie_DemocraticRepublicCongo	#ffb35a	
SAMEA4374795_schweinfurthii_Maya_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		N019_Maya		diploid	diploid (Illumina short-read)	short-read	0	26	SAMEA4374795_schweinfurthii_Maya_DemocraticRepublicCongo	#ffb35a	
SAMN01920533_troglodytes_Vaillant_Gabon	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		A957_Vaillant		diploid	diploid (Illumina short-read)	short-read	-6	24	SAMN01920533_troglodytes_Vaillant_Gabon	#4c5d4c	
SAMN01920534_troglodytes_Doris_Gabon	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		A958_Doris		diploid	diploid (Illumina short-read)	short-read	-1.5	14	SAMN01920534_troglodytes_Doris_Gabon	#4c5d4c	
SAMN01920535_troglodytes_Julie_Gabon	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		A959_Julie		diploid	diploid (Illumina short-read)	short-read	-2	10	SAMN01920535_troglodytes_Julie_Gabon	#4c5d4c	
SAMN01920536_troglodytes_Clara_Gabon	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		A960_Clara		diploid	diploid (Illumina short-read)	short-read	-1.5	14	SAMN01920536_troglodytes_Clara_Gabon	#4c5d4c	
SAMN01920537_verus_Bosco	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		9668_Bosco		diploid	diploid (Illumina short-read)	short-read	0	11	SAMN01920537_verus_Bosco	#9dced9	
SAMN01920541_verusxtroglodytes_Donald	Pan troglodytes verus	Ptv x Ptt hybrid	Western x Central hybrid	illumina short-read	illumina short-read		9730_Donald		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMN01920541_verusxtroglodytes_Donald	#9dced9	
SAMN01920538_verus_Jimmie	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		A956_Jimmie		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMN01920538_verus_Jimmie	#9dced9	
SAMEA4374763_verus_Berta_CotedIvoire	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		A991_Berta		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMEA4374763_verus_Berta_CotedIvoire	#9dced9	
SAMEA4374764_verus_Annie_Guinea	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		A992_Annie		diploid	diploid (Illumina short-read)	short-read	7	-7	SAMEA4374764_verus_Annie_Guinea	#9dced9	
SAMEA4374765_verus_Mike_Guinea	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		A993_Mike		diploid	diploid (Illumina short-read)	short-read	12	-13	SAMEA4374765_verus_Mike_Guinea	#9dced9	
SAMEA4374766_verus_SepToni_Liberia	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		B005_SeppToni		diploid	diploid (Illumina short-read)	short-read	10	-14	SAMEA4374766_verus_SepToni_Liberia	#9dced9	
SAMEA4374767_verus_Linda_CotedIvoire	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		B006_Linda		diploid	diploid (Illumina short-read)	short-read	6	-9	SAMEA4374767_verus_Linda_CotedIvoire	#9dced9	
SAMN01920540_verus_Clint	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		Clint		diploid	diploid (Illumina short-read)	short-read	6	-9	SAMN01920540_verus_Clint	#9dced9	
SAMEA4374768_verus_Cindy_CotedIvoire	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		N014_Cindy		diploid	diploid (Illumina short-read)	short-read			SAMEA4374768_verus_Cindy_CotedIvoire	#9dced9	
SAMEA4374769_verus_Alice_CotedIvoire	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		N016_Alice		diploid	diploid (Illumina short-read)	short-read	7	-5.5	SAMEA4374769_verus_Alice_CotedIvoire	#9dced9	
SAMN01920539_verus_Koby	Pan troglodytes verus	Ptv	Western	illumina short-read	illumina short-read		X00100_Koby		diploid	diploid (Illumina short-read)	short-read	7	-5.5	SAMN01920539_verus_Koby	#9dced9	
SAMEA4374770_troglodytes_Marlin	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		B025_Marlin		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMEA4374770_troglodytes_Marlin	#4c5d4c	
SAMEA4374771_troglodytes_Negrita_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		B024_Negrita		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMEA4374771_troglodytes_Negrita_EquatorialGuinea	#4c5d4c	
SAMEA4374772_troglodytes_Blanquita_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		B023_Blanquita		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374772_troglodytes_Blanquita_EquatorialGuinea	#4c5d4c	
SAMEA4374773_troglodytes_Tibe_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		B022_Tibe		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374773_troglodytes_Tibe_EquatorialGuinea	#4c5d4c	
SAMEA4374774_troglodytes_Yogui_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		B021_Yogui		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374774_troglodytes_Yogui_EquatorialGuinea	#4c5d4c	
SAMEA4374775_troglodytes_Noemie_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		A990_Noemie		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374775_troglodytes_Noemie_EquatorialGuinea	#4c5d4c	
SAMEA4374796_schweinfurthii_Coco_Zambia	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		B014_Coco		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374796_schweinfurthii_Coco_Zambia	#ffb35a	
SAMEA4374797_schweinfurthii_Athanga_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		B013_Athanga		diploid	diploid (Illumina short-read)	short-read	0	20	SAMEA4374797_schweinfurthii_Athanga_DemocraticRepublicCongo	#ffb35a	
SAMEA4374798_schweinfurthii_Washu_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		B012_Washu		diploid	diploid (Illumina short-read)	short-read	0.5	29.5	SAMEA4374798_schweinfurthii_Washu_DemocraticRepublicCongo	#ffb35a	
SAMEA4374794_schweinfurthii_Frederike_Rwanda	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		B011_Frederike		diploid	diploid (Illumina short-read)	short-read	-12	27	SAMEA4374794_schweinfurthii_Frederike_Rwanda	#ffb35a	
SAMEA4374776_troglodytes_Cindy	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		10964_Cindy		diploid	diploid (Illumina short-read)	short-read	-2	30	SAMEA4374776_troglodytes_CindySAMEA4374776_troglodytes_Cindy	#4c5d4c	
SAMEA4374777_troglodytes_Mirinda	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		11352_Mirinda		diploid	diploid (Illumina short-read)	short-read			SAMEA4374777_troglodytes_Mirinda	#4c5d4c	
SAMEA4374778_troglodytes_Ula_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		12311_Ula		diploid	diploid (Illumina short-read)	short-read			SAMEA4374778_troglodytes_Ula_EquatorialGuinea	#4c5d4c	
SAMEA4374779_troglodytes_Lara_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		12320_Lara		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374779_troglodytes_Lara_EquatorialGuinea	#4c5d4c	
SAMEA4374780_troglodytes_Luky_EquatorialGuinea	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		12348_Luky		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374780_troglodytes_Luky_EquatorialGuinea	#4c5d4c	
SAMEA4374781_troglodytes_Gamin	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		12420_Gamin		diploid	diploid (Illumina short-read)	short-read	1.5	10.5	SAMEA4374781_troglodytes_Gamin	#4c5d4c	
SAMEA4374782_troglodytes_Brigitta	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		13656_Brigitta		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMEA4374782_troglodytes_Brigitta	#4c5d4c	
SAMEA4374785_troglodytes_Alfred	Pan troglodytes troglodytes	Ptt	Central	illumina short-read	illumina short-read		11528_Alfred		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMEA4374785_troglodytes_Alfred	#4c5d4c	
SAMEA4374799_schweinfurthii_DemocraticRepublicCongo	Pan troglodytes schweinfurthii	Pts	Eastern	illumina short-read	illumina short-read		Mgbadolite		diploid	diploid (Illumina short-read)	short-read	NA	NA	SAMEA4374799_schweinfurthii_DemocraticRepublicCongo	#bbc671	
SAMN01920504_LB502_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		LB502		diploid	diploid (Illumina short-read)	short-read			SAMN01920504_LB502_paniscus	#e9d7cb	
SAMN01920505_Hortense_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Hortense		diploid	diploid (Illumina short-read)	short-read			SAMN01920505_Hortense_paniscus	#e9d7cb	
SAMN01920506_Kosana_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Kosana		diploid	diploid (Illumina short-read)	short-read			SAMN01920506_Kosana_paniscus	#e9d7cb	
SAMN01920507_Dzeeta_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Dzeeta		diploid	diploid (Illumina short-read)	short-read			SAMN01920507_Dzeeta_paniscus	#e9d7cb	
SAMN01920508_Hermien_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Hermien		diploid	diploid (Illumina short-read)	short-read			SAMN01920508_Hermien_paniscus	#e9d7cb	
SAMN01920509_Desmond_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Desmond		diploid	diploid (Illumina short-read)	short-read			SAMN01920509_Desmond_paniscus	#e9d7cb	
SAMN01920510_Catherine_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Catherine		diploid	diploid (Illumina short-read)	short-read			SAMN01920510_Catherine_paniscus	#e9d7cb	
SAMN01920511_Kombote_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Kombote		diploid	diploid (Illumina short-read)	short-read			SAMN01920511_Kombote_paniscus	#e9d7cb	
SAMN01920512_Chipita_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Chipita		diploid	diploid (Illumina short-read)	short-read			SAMN01920512_Chipita_paniscus	#e9d7cb	
SAMN01920513_Bono_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Bono		diploid	diploid (Illumina short-read)	short-read			SAMN01920513_Bono_paniscus	#e9d7cb	
SAMN01920514_Natalie_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Natalie		diploid	diploid (Illumina short-read)	short-read			SAMN01920514_Natalie_paniscus	#e9d7cb	
SAMN01920515_Salonga_paniscus	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Salonga		diploid	diploid (Illumina short-read)	short-read			SAMN01920515_Salonga_paniscus	#e9d7cb	
SAMN01920516_paniscus_Kumbuka	Pan paniscus	Ppan	Bonobo	illumina short-read	illumina short-read		Kumbuka		diploid	diploid (Illumina short-read)	short-read			SAMN01920516_paniscus_Kumbuka	#e9d7cb	
