100000_CHM13.pri	XY	CHM13	.	Ref	CHM13	CHM13	CHM13
120001_CN1.pat	Y	CN1	M	EastAsia	.	China	CN1
120002_CN1.mat	X	CN1	M	EastAsia	.	China	CN1
120005_KSA001.pat	X	KSA001	F	WestEurasia	.	SaudiArabia	SaudiArabia
120006_KSA001.mat	X	KSA001	F	WestEurasia	.	SaudiArabia	India
120007_I002C.pat	Y	I002C	M	SouthAsia	.	India	India
120008_I002C.mat	X	I002C	M	SouthAsia	.	India	India
120009_KOREF1.pat	Y	KOREF1	M	EastAsia	.	SouthKorea	SouthKorea
120010_KOREF1.mat	X	KOREF1	M	EastAsia	.	SouthKorea	SouthKorea
120011_YAO.pat	Y	YAO	M	EastAsia	.	China	China
120012_YAO.mat	X	YAO	M	EastAsia	.	China	China
200001_HG002.pat	Y	HG002	M	WestEurasia	ASK	ASK	HPRC
200002_HG002.mat	X	HG002	M	WestEurasia	ASK	ASK	HPRC
200003_HG06807.pat	X	HG06807	F	Africa	ASL	.	HPRC
200004_HG06807.mat	X	HG06807	F	Africa	ASL	.	HPRC
200005_HG00408.pat	X	HG00408	F	EastAsia	CHS	.	HPRC
200006_HG00408.mat	X	HG00408	F	EastAsia	CHS	.	HPRC
200007_HG00423.pat	X	HG00423	F	EastAsia	CHS	.	HPRC
200008_HG00423.mat	X	HG00423	F	EastAsia	CHS	.	HPRC
200009_HG00438.pat	X	HG00438	F	EastAsia	CHS	.	HPRC
200010_HG00438.mat	X	HG00438	F	EastAsia	CHS	.	HPRC
200011_HG00544.pat	X	HG00544	F	EastAsia	CHS	.	HPRC
200012_HG00544.mat	X	HG00544	F	EastAsia	CHS	.	HPRC
200013_HG00558.pat	X	HG00558	F	EastAsia	CHS	.	HPRC
200014_HG00558.mat	X	HG00558	F	EastAsia	CHS	.	HPRC
200015_HG00597.pat	X	HG00597	F	EastAsia	CHS	.	HPRC
200016_HG00597.mat	X	HG00597	F	EastAsia	CHS	.	HPRC
200017_HG005.pat	Y	HG005	M	EastAsia	CHS	.	HPRC
200018_HG005.mat	X	HG005	M	EastAsia	CHS	.	HPRC
200019_HG00609.pat	Y	HG00609	M	EastAsia	CHS	.	HPRC
200020_HG00609.mat	X	HG00609	M	EastAsia	CHS	.	HPRC
200021_HG00621.pat	Y	HG00621	M	EastAsia	CHS	.	HPRC
200022_HG00621.mat	X	HG00621	M	EastAsia	CHS	.	HPRC
200023_HG00639.pat	X	HG00639	F	America	PUR	.	HPRC
200024_HG00639.mat	X	HG00639	F	America	PUR	.	HPRC
200025_HG00642.pat	Y	HG00642	M	America	PUR	.	HPRC
200026_HG00642.mat	X	HG00642	M	America	PUR	.	HPRC
200027_HG00658.pat	Y	HG00658	M	EastAsia	CHS	.	HPRC
200028_HG00658.mat	X	HG00658	M	EastAsia	CHS	.	HPRC
200029_HG00673.pat	Y	HG00673	M	EastAsia	CHS	.	HPRC
200030_HG00673.mat	X	HG00673	M	EastAsia	CHS	.	HPRC
200031_HG00706.pat	Y	HG00706	M	EastAsia	CHS	.	HPRC
200032_HG00706.mat	X	HG00706	M	EastAsia	CHS	.	HPRC
200033_HG00733.pat	X	HG00733	F	America	PUR	.	HPRC
200034_HG00733.mat	X	HG00733	F	America	PUR	.	HPRC
200035_HG00735.pat	X	HG00735	F	America	PUR	.	HPRC
200036_HG00735.mat	X	HG00735	F	America	PUR	.	HPRC
200037_HG00738.pat	Y	HG00738	M	America	PUR	.	HPRC
200038_HG00738.mat	X	HG00738	M	America	PUR	.	HPRC
200039_HG00741.pat	X	HG00741	F	America	PUR	.	HPRC
200040_HG00741.mat	X	HG00741	F	America	PUR	.	HPRC
200041_HG01071.pat	X	HG01071	F	America	PUR	.	HPRC
200042_HG01071.mat	X	HG01071	F	America	PUR	.	HPRC
200043_HG01074.pat	Y	HG01074	M	America	PUR	.	HPRC
200044_HG01074.mat	X	HG01074	M	America	PUR	.	HPRC
200045_HG01081.pat	X	HG01081	F	America	PUR	.	HPRC
200046_HG01081.mat	X	HG01081	F	America	PUR	.	HPRC
200047_HG01099.pat	Y	HG01099	M	America	PUR	.	HPRC
200048_HG01099.mat	X	HG01099	M	America	PUR	.	HPRC
200049_HG01106.pat	Y	HG01106	M	America	PUR	.	HPRC
200050_HG01106.mat	X	HG01106	M	America	PUR	.	HPRC
200051_HG01109.pat	Y	HG01109	M	America	PUR	.	HPRC
200052_HG01109.mat	X	HG01109	M	America	PUR	.	HPRC
200053_HG01123.pat	X	HG01123	F	America	CLM	.	HPRC
200054_HG01123.mat	X	HG01123	F	America	CLM	.	HPRC
200055_HG01150.pat	X	HG01150	F	America	CLM	.	HPRC
200056_HG01150.mat	X	HG01150	F	America	CLM	.	HPRC
200057_HG01175.pat	X	HG01175	F	America	PUR	.	HPRC
200058_HG01175.mat	X	HG01175	F	America	PUR	.	HPRC
200059_HG01192.pat	Y	HG01192	M	America	PUR	.	HPRC
200060_HG01192.mat	X	HG01192	M	America	PUR	.	HPRC
200061_HG01243.pat	Y	HG01243	M	America	PUR	.	HPRC
200062_HG01243.mat	X	HG01243	M	America	PUR	.	HPRC
200063_HG01252.pat	Y	HG01252	M	America	CLM	.	HPRC
200064_HG01252.mat	X	HG01252	M	America	CLM	.	HPRC
200065_HG01255.pat	Y	HG01255	M	America	CLM	.	HPRC
200066_HG01255.mat	X	HG01255	M	America	CLM	.	HPRC
200067_HG01258.pat	Y	HG01258	M	America	CLM	.	HPRC
200068_HG01258.mat	X	HG01258	M	America	CLM	.	HPRC
200069_HG01261.pat	Y	HG01261	M	America	CLM	.	HPRC
200070_HG01261.mat	X	HG01261	M	America	CLM	.	HPRC
200071_HG01346.pat	X	HG01346	F	America	CLM	.	HPRC
200072_HG01346.mat	X	HG01346	F	America	CLM	.	HPRC
200073_HG01358.pat	Y	HG01358	M	America	CLM	.	HPRC
200074_HG01358.mat	X	HG01358	M	America	CLM	.	HPRC
200075_HG01361.pat	X	HG01361	F	America	CLM	.	HPRC
200076_HG01361.mat	X	HG01361	F	America	CLM	.	HPRC
200077_HG01433.pat	Y	HG01433	M	America	CLM	.	HPRC
200078_HG01433.mat	X	HG01433	M	America	CLM	.	HPRC
200079_HG01496.pat	X	HG01496	F	America	CLM	.	HPRC
200080_HG01496.mat	X	HG01496	F	America	CLM	.	HPRC
200081_HG01884.pat	X	HG01884	F	Africa	ACB	.	HPRC
200082_HG01884.mat	X	HG01884	F	Africa	ACB	.	HPRC
200083_HG01891.pat	X	HG01891	F	Africa	ACB	.	HPRC
200084_HG01891.mat	X	HG01891	F	Africa	ACB	.	HPRC
200085_HG01928.pat	Y	HG01928	M	America	PEL	.	HPRC
200086_HG01928.mat	X	HG01928	M	America	PEL	.	HPRC
200087_HG01934.pat	Y	HG01934	M	America	PEL	.	HPRC
200088_HG01934.mat	X	HG01934	M	America	PEL	.	HPRC
200089_HG01940.pat	X	HG01940	F	America	PEL	.	HPRC
200090_HG01940.mat	X	HG01940	F	America	PEL	.	HPRC
200091_HG01943.pat	Y	HG01943	M	America	PEL	.	HPRC
200092_HG01943.mat	X	HG01943	M	America	PEL	.	HPRC
200093_HG01952.pat	Y	HG01952	M	America	PEL	.	HPRC
200094_HG01952.mat	X	HG01952	M	America	PEL	.	HPRC
200095_HG01960.pat	X	HG01960	F	Africa	ACB	.	HPRC
200096_HG01960.mat	X	HG01960	F	Africa	ACB	.	HPRC
200097_HG01969.pat	X	HG01969	F	America	PEL	.	HPRC
200098_HG01969.mat	X	HG01969	F	America	PEL	.	HPRC
200099_HG01975.pat	X	HG01975	F	America	PEL	.	HPRC
200100_HG01975.mat	X	HG01975	F	America	PEL	.	HPRC
200101_HG01981.pat	X	HG01981	F	America	PEL	.	HPRC
200102_HG01981.mat	X	HG01981	F	America	PEL	.	HPRC
200103_HG01993.pat	X	HG01993	F	America	PEL	.	HPRC
200104_HG01993.mat	X	HG01993	F	America	PEL	.	HPRC
200105_HG02004.pat	X	HG02004	F	America	PEL	.	HPRC
200106_HG02004.mat	X	HG02004	F	America	PEL	.	HPRC
200107_HG02015.pat	Y	HG02015	M	EastAsia	KHV	.	HPRC
200108_HG02015.mat	X	HG02015	M	EastAsia	KHV	.	HPRC
200109_HG02027.pat	Y	HG02027	M	EastAsia	KHV	.	HPRC
200110_HG02027.mat	X	HG02027	M	EastAsia	KHV	.	HPRC
200111_HG02055.pat	Y	HG02055	M	Africa	ACB	.	HPRC
200112_HG02055.mat	X	HG02055	M	Africa	ACB	.	HPRC
200113_HG02056.pat	Y	HG02056	M	EastAsia	KHV	.	HPRC
200114_HG02056.mat	X	HG02056	M	EastAsia	KHV	.	HPRC
200115_HG02071.pat	Y	HG02071	M	EastAsia	KHV	.	HPRC
200116_HG02071.mat	X	HG02071	M	EastAsia	KHV	.	HPRC
200117_HG02074.pat	Y	HG02074	M	EastAsia	KHV	.	HPRC
200118_HG02074.mat	X	HG02074	M	EastAsia	KHV	.	HPRC
200119_HG02080.pat	X	HG02080	F	EastAsia	KHV	.	HPRC
200120_HG02080.mat	X	HG02080	F	EastAsia	KHV	.	HPRC
200121_HG02083.pat	Y	HG02083	M	EastAsia	KHV	.	HPRC
200122_HG02083.mat	X	HG02083	M	EastAsia	KHV	.	HPRC
200123_HG02109.pat	X	HG02109	F	Africa	ACB	.	HPRC
200124_HG02109.mat	X	HG02109	F	Africa	ACB	.	HPRC
200125_HG02129.pat	Y	HG02129	M	EastAsia	KHV	.	HPRC
200126_HG02129.mat	X	HG02129	M	EastAsia	KHV	.	HPRC
200127_HG02132.pat	Y	HG02132	M	EastAsia	KHV	.	HPRC
200128_HG02132.mat	X	HG02132	M	EastAsia	KHV	.	HPRC
200129_HG02135.pat	Y	HG02135	M	EastAsia	KHV	.	HPRC
200130_HG02135.mat	X	HG02135	M	EastAsia	KHV	.	HPRC
200131_HG02145.pat	Y	HG02145	M	Africa	ACB	.	HPRC
200132_HG02145.mat	X	HG02145	M	Africa	ACB	.	HPRC
200133_HG02148.pat	X	HG02148	F	America	PEL	.	HPRC
200134_HG02148.mat	X	HG02148	F	America	PEL	.	HPRC
200135_HG02258.pat	Y	HG02258	M	Africa	ACB	.	HPRC
200136_HG02258.mat	X	HG02258	M	Africa	ACB	.	HPRC
200137_HG02280.pat	X	HG02280	F	Africa	ACB	.	HPRC
200138_HG02280.mat	X	HG02280	F	Africa	ACB	.	HPRC
200139_HG02293.pat	X	HG02293	F	America	PEL	.	HPRC
200140_HG02293.mat	X	HG02293	F	America	PEL	.	HPRC
200141_HG02300.pat	X	HG02300	F	America	PEL	.	HPRC
200142_HG02300.mat	X	HG02300	F	America	PEL	.	HPRC
200143_HG02451.pat	X	HG02451	F	Africa	ACB	.	HPRC
200144_HG02451.mat	X	HG02451	F	Africa	ACB	.	HPRC
200145_HG02486.pat	Y	HG02486	M	Africa	ACB	.	HPRC
200146_HG02486.mat	X	HG02486	M	Africa	ACB	.	HPRC
200147_HG02514.pat	Y	HG02514	M	EastAsia	KHV	.	HPRC
200148_HG02514.mat	X	HG02514	M	EastAsia	KHV	.	HPRC
200149_HG02523.pat	X	HG02523	F	EastAsia	KHV	.	HPRC
200150_HG02523.mat	X	HG02523	F	EastAsia	KHV	.	HPRC
200151_HG02559.pat	X	HG02559	F	Africa	ACB	.	HPRC
200152_HG02559.mat	X	HG02559	F	Africa	ACB	.	HPRC
200153_HG02572.pat	Y	HG02572	M	Africa	GWD	.	HPRC
200154_HG02572.mat	X	HG02572	M	Africa	GWD	.	HPRC
200155_HG02602.pat	Y	HG02602	M	SouthAsia	PJL	.	HPRC
200156_HG02602.mat	X	HG02602	M	SouthAsia	PJL	.	HPRC
200157_HG02615.pat	X	HG02615	F	Africa	GWD	.	HPRC
200158_HG02615.mat	X	HG02615	F	Africa	GWD	.	HPRC
200159_HG02622.pat	X	HG02622	F	Africa	GWD	.	HPRC
200160_HG02622.mat	X	HG02622	F	Africa	GWD	.	HPRC
200161_HG02630.pat	X	HG02630	F	Africa	GWD	.	HPRC
200162_HG02630.mat	X	HG02630	F	Africa	GWD	.	HPRC
200163_HG02647.pat	Y	HG02647	M	Africa	GWD	.	HPRC
200164_HG02647.mat	X	HG02647	M	Africa	GWD	.	HPRC
200165_HG02668.pat	Y	HG02668	M	Africa	GWD	.	HPRC
200166_HG02668.mat	X	HG02668	M	Africa	GWD	.	HPRC
200167_HG02698.pat	Y	HG02698	M	SouthAsia	PJL	.	HPRC
200168_HG02698.mat	X	HG02698	M	SouthAsia	PJL	.	HPRC
200169_HG02717.pat	Y	HG02717	M	Africa	GWD	.	HPRC
200170_HG02717.mat	X	HG02717	M	Africa	GWD	.	HPRC
200171_HG02723.pat	X	HG02723	F	Africa	GWD	.	HPRC
200172_HG02723.mat	X	HG02723	F	Africa	GWD	.	HPRC
200173_HG02735.pat	Y	HG02735	M	SouthAsia	PJL	.	HPRC
200174_HG02735.mat	X	HG02735	M	SouthAsia	PJL	.	HPRC
200175_HG02738.pat	Y	HG02738	M	SouthAsia	PJL	.	HPRC
200176_HG02738.mat	X	HG02738	M	SouthAsia	PJL	.	HPRC
200177_HG02809.pat	X	HG02809	F	Africa	GWD	.	HPRC
200178_HG02809.mat	X	HG02809	F	Africa	GWD	.	HPRC
200179_HG02818.pat	X	HG02818	F	Africa	GWD	.	HPRC
200180_HG02818.mat	X	HG02818	F	Africa	GWD	.	HPRC
200181_HG02841.pat	X	HG02841	F	Africa	GWD	.	HPRC
200182_HG02841.mat	X	HG02841	F	Africa	GWD	.	HPRC
200183_HG02886.pat	X	HG02886	F	Africa	GWD	.	HPRC
200184_HG02886.mat	X	HG02886	F	Africa	GWD	.	HPRC
200185_HG02984.pat	Y	HG02984	M	Africa	GWD	.	HPRC
200186_HG02984.mat	X	HG02984	M	Africa	GWD	.	HPRC
200187_HG03017.pat	Y	HG03017	M	SouthAsia	PJL	.	HPRC
200188_HG03017.mat	X	HG03017	M	SouthAsia	PJL	.	HPRC
200189_HG03041.pat	X	HG03041	F	Africa	GWD	.	HPRC
200190_HG03041.mat	X	HG03041	F	Africa	GWD	.	HPRC
200191_HG03050.pat	Y	HG03050	M	Africa	GWD	.	HPRC
200192_HG03050.mat	X	HG03050	M	Africa	GWD	.	HPRC
200193_HG03098.pat	Y	HG03098	M	Africa	MSL	.	HPRC
200194_HG03098.mat	X	HG03098	M	Africa	MSL	.	HPRC
200195_HG03239.pat	X	HG03239	F	SouthAsia	PJL	.	HPRC
200196_HG03239.mat	X	HG03239	F	SouthAsia	PJL	.	HPRC
200197_HG03453.pat	X	HG03453	F	Africa	MSL	.	HPRC
200198_HG03453.mat	X	HG03453	F	Africa	MSL	.	HPRC
200199_HG03486.pat	X	HG03486	F	Africa	MSL	.	HPRC
200200_HG03486.mat	X	HG03486	F	Africa	MSL	.	HPRC
200201_HG03540.pat	X	HG03540	F	Africa	GWD	.	HPRC
200202_HG03540.mat	X	HG03540	F	Africa	GWD	.	HPRC
200203_HG03579.pat	Y	HG03579	M	Africa	MSL	.	HPRC
200204_HG03579.mat	X	HG03579	M	Africa	MSL	.	HPRC
200205_HG03654.pat	Y	HG03654	M	SouthAsia	PJL	.	HPRC
200206_HG03654.mat	X	HG03654	M	SouthAsia	PJL	.	HPRC
200207_HG03669.pat	X	HG03669	F	SouthAsia	PJL	.	HPRC
200208_HG03669.mat	X	HG03669	F	SouthAsia	PJL	.	HPRC
200209_HG03688.pat	Y	HG03688	M	SouthAsia	STU	.	HPRC
200210_HG03688.mat	X	HG03688	M	SouthAsia	STU	.	HPRC
200211_HG03704.pat	X	HG03704	F	SouthAsia	PJL	.	HPRC
200212_HG03704.mat	X	HG03704	F	SouthAsia	PJL	.	HPRC
200213_HG03710.pat	Y	HG03710	M	SouthAsia	PJL	.	HPRC
200214_HG03710.mat	X	HG03710	M	SouthAsia	PJL	.	HPRC
200215_HG03804.pat	X	HG03804	F	SouthAsia	BEB	.	HPRC
200216_HG03804.mat	X	HG03804	F	SouthAsia	BEB	.	HPRC
200217_HG03816.pat	X	HG03816	F	SouthAsia	BEB	.	HPRC
200218_HG03816.mat	X	HG03816	F	SouthAsia	BEB	.	HPRC
200219_HG03831.pat	X	HG03831	F	SouthAsia	BEB	.	HPRC
200220_HG03831.mat	X	HG03831	F	SouthAsia	BEB	.	HPRC
200221_HG03834.pat	X	HG03834	F	SouthAsia	BEB	.	HPRC
200222_HG03834.mat	X	HG03834	F	SouthAsia	BEB	.	HPRC
200223_HG03927.pat	X	HG03927	F	SouthAsia	BEB	.	HPRC
200224_HG03927.mat	X	HG03927	F	SouthAsia	BEB	.	HPRC
200225_HG03942.pat	Y	HG03942	M	SouthAsia	BEB	.	HPRC
200226_HG03942.mat	X	HG03942	M	SouthAsia	BEB	.	HPRC
200227_HG04115.pat	Y	HG04115	M	SouthAsia	STU	.	HPRC
200228_HG04115.mat	X	HG04115	M	SouthAsia	STU	.	HPRC
200229_HG04157.pat	Y	HG04157	M	SouthAsia	BEB	.	HPRC
200230_HG04157.mat	X	HG04157	M	SouthAsia	BEB	.	HPRC
200231_HG04160.pat	Y	HG04160	M	SouthAsia	BEB	.	HPRC
200232_HG04160.mat	X	HG04160	M	SouthAsia	BEB	.	HPRC
200233_HG04184.pat	X	HG04184	F	SouthAsia	BEB	.	HPRC
200234_HG04184.mat	X	HG04184	F	SouthAsia	BEB	.	HPRC
200235_HG04187.pat	Y	HG04187	M	SouthAsia	BEB	.	HPRC
200236_HG04187.mat	X	HG04187	M	SouthAsia	BEB	.	HPRC
200237_HG04199.pat	Y	HG04199	M	SouthAsia	STU	.	HPRC
200238_HG04199.mat	X	HG04199	M	SouthAsia	STU	.	HPRC
200239_HG04204.pat	Y	HG04204	M	SouthAsia	STU	.	HPRC
200240_HG04204.mat	X	HG04204	M	SouthAsia	STU	.	HPRC
200241_HG04228.pat	Y	HG04228	M	SouthAsia	STU	.	HPRC
200242_HG04228.mat	X	HG04228	M	SouthAsia	STU	.	HPRC
200243_NA18906.pat	X	NA18906	F	Africa	YRI	.	HPRC
200244_NA18906.mat	X	NA18906	F	Africa	YRI	.	HPRC
200245_NA19240.pat	X	NA19240	F	Africa	YRI	.	HPRC
200246_NA19240.mat	X	NA19240	F	Africa	YRI	.	HPRC
200247_NA20129.pat	X	NA20129	F	Africa	ASW	.	HPRC
200248_NA20129.mat	X	NA20129	F	Africa	ASW	.	HPRC
200249_NA21309.pat	X	NA21309	F	Africa	MKK	.	HPRC
200250_NA21309.mat	X	NA21309	F	Africa	MKK	.	HPRC
200251_HG01978.pat	X	HG01978	F	America	PEL	.	HPRC
200252_HG01978.mat	X	HG01978	F	America	PEL	.	HPRC
200253_HG02257.pat	X	HG02257	F	Africa	ACB	.	HPRC
200254_HG02257.mat	X	HG02257	F	Africa	ACB	.	HPRC
200255_HG03516.pat	X	HG03516	F	Africa	ESN	.	HPRC
200256_HG03516.mat	X	HG03516	F	Africa	ESN	.	HPRC
200257_HG00097.hap1	X	HG00097	F	WestEurasia	GBR	.	HPRC
200258_HG00097.hap2	X	HG00097	F	WestEurasia	GBR	.	HPRC
200259_HG00099.hap1	X	HG00099	F	WestEurasia	GBR	.	HPRC
200260_HG00099.hap2	X	HG00099	F	WestEurasia	GBR	.	HPRC
200261_HG00126.hap1	Y	HG00126	M	WestEurasia	GBR	.	HPRC
200262_HG00126.hap2	X	HG00126	M	WestEurasia	GBR	.	HPRC
200263_HG00128.hap1	X	HG00128	F	WestEurasia	GBR	.	HPRC
200264_HG00128.hap2	X	HG00128	F	WestEurasia	GBR	.	HPRC
200265_HG00133.hap1	X	HG00133	F	WestEurasia	GBR	.	HPRC
200266_HG00133.hap2	X	HG00133	F	WestEurasia	GBR	.	HPRC
200267_HG00140.hap1	Y	HG00140	M	WestEurasia	GBR	.	HPRC
200268_HG00140.hap2	X	HG00140	M	WestEurasia	GBR	.	HPRC
200269_HG00146.hap1	X	HG00146	F	WestEurasia	GBR	.	HPRC
200270_HG00146.hap2	X	HG00146	F	WestEurasia	GBR	.	HPRC
200271_HG00232.hap1	X	HG00232	F	WestEurasia	GBR	.	HPRC
200272_HG00232.hap2	X	HG00232	F	WestEurasia	GBR	.	HPRC
200273_HG00235.hap1	X	HG00235	F	WestEurasia	GBR	.	HPRC
200274_HG00235.hap2	X	HG00235	F	WestEurasia	GBR	.	HPRC
200275_HG00253.hap1	X	HG00253	F	WestEurasia	GBR	.	HPRC
200276_HG00253.hap2	X	HG00253	F	WestEurasia	GBR	.	HPRC
200277_HG00272.hap1	X	HG00272	F	WestEurasia	FIN	.	HPRC
200278_HG00272.hap2	X	HG00272	F	WestEurasia	FIN	.	HPRC
200279_HG00280.hap1	Y	HG00280	M	WestEurasia	FIN	.	HPRC
200280_HG00280.hap2	X	HG00280	M	WestEurasia	FIN	.	HPRC
200281_HG00290.hap1	Y	HG00290	M	WestEurasia	FIN	.	HPRC
200282_HG00290.hap2	X	HG00290	M	WestEurasia	FIN	.	HPRC
200283_HG00320.hap1	X	HG00320	F	WestEurasia	FIN	.	HPRC
200284_HG00320.hap2	X	HG00320	F	WestEurasia	FIN	.	HPRC
200285_HG00321.hap1	Y	HG00321	M	WestEurasia	FIN	.	HPRC
200286_HG00321.hap2	X	HG00321	M	WestEurasia	FIN	.	HPRC
200287_HG00323.hap1	X	HG00323	F	WestEurasia	FIN	.	HPRC
200288_HG00323.hap2	X	HG00323	F	WestEurasia	FIN	.	HPRC
200289_HG00329.hap1	Y	HG00329	M	WestEurasia	FIN	.	HPRC
200290_HG00329.hap2	X	HG00329	M	WestEurasia	FIN	.	HPRC
200291_HG00344.hap1	X	HG00344	F	WestEurasia	FIN	.	HPRC
200292_HG00344.hap2	X	HG00344	F	WestEurasia	FIN	.	HPRC
200293_HG00350.hap1	X	HG00350	F	WestEurasia	FIN	.	HPRC
200294_HG00350.hap2	X	HG00350	F	WestEurasia	FIN	.	HPRC
